Reference,Qty,Value,Footprint,Datasheet,Price($),Distributor,Purpose
Ae1,1,Ant,Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical,~,0,Self sourced ,PCB
"C1,C2,C3,C4,C5,C17",5,100 nF,Capacitor_SMD:C_0402_1005Metric,~,0.117,JLCPCB,PCB
C6,1,0.1uF (C6-25),Capacitor_SMD:C_0402_1005Metric,~,,JLCPCB,PCB
"C7,C20,C21,C22,C23,C24,C25,C27,C29",8,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,JLCPCB,PCB
C8,1,100pF,Capacitor_SMD:C_0402_1005Metric,~,0.022,JLCPCB,PCB
"C9,C10",2,12pF,Capacitor_SMD:C_0402_1005Metric,~,0.026,JLCPCB,PCB
"C11,C26,C28,C30",4,1uF,Capacitor_SMD:C_0402_1005Metric,~,0.069,JLCPCB,PCB
C12,1,4.7uF,Capacitor_SMD:C_0402_1005Metric,~,0.589,JLCPCB,PCB
"C13,C14",2,4.7 uF,Capacitor_SMD:C_0402_1005Metric,~,,JLCPCB,PCB
C18,1,0.8 pF,Capacitor_SMD:C_0402_1005Metric,~,0.032,JLCPCB,PCB
C19,1,0.5 pF,Capacitor_SMD:C_0402_1005Metric,~,0.022,JLCPCB,PCB
C31,1,200uF,Capacitor_SMD:C_0402_1005Metric,~,,JLCPCB,PCB
"C32,C33",2,33pF,Capacitor_SMD:C_0402_1005Metric,~,0.026,JLCPCB,PCB
"D1,D2",2,LED,Diode_SMD:D_0402_1005Metric,~,0.636,JLCPCB,PCB
"J1,J2",2,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,1.831,JLCPCB,PCB
J3,1,Conn_01x21_Pin(RP),Connector_PinHeader_2.54mm:PinHeader_1x21_P2.54mm_Vertical,~,0,Self sourced ,PCB
J4,1,Conn_01x21_Pin (RP),Connector_PinHeader_2.54mm:PinHeader_1x21_P2.54mm_Vertical,~,0,Self sourced ,PCB
"J5,J6",2,Conn_01x15_Pin,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,~,0,Self sourced ,PCB
L1,1,4.7nH,Inductor_SMD:L_0402_1005Metric,~,0.094,JLCPCB,PCB
"R1,R2,R3,R4",4,5.1K,Resistor_SMD:R_0402_1005Metric,~,0.015,JLCPCB,PCB
"R5,R6,R7,R8",4,27,Resistor_SMD:R_0402_1005Metric,~,0.018,JLCPCB,PCB
"R9,R11",2,1K,Resistor_SMD:R_0402_1005Metric,~,0.012,JLCPCB,PCB
"R10,R14",2,10K,Resistor_SMD:R_0402_1005Metric,~,0.012,JLCPCB,PCB
"R12,R13",2,330,Resistor_SMD:R_0402_1005Metric,~,0.03,JLCPCB,PCB
"SW1,SW2",2,SW_Push,Button_Switch_SMD:SW_SPST_PTS647_Sx38,~,4.011,JLCPCB,PCB
U1,1,W25Q128JVS,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf,9.4585,JLCPCB,PCB
U2,1,RP2040,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf,4.881,JLCPCB,PCB
U3,1,TLV75533PDBV,Package_TO_SOT_SMD:SOT-23-5,http://www.ti.com/lit/ds/symlink/tlv755p.pdf,0.656,JLCPCB,PCB
U4,1,~,nRF5280-QFAA-R7:QIAA-F-R7,https://item.szlcsc.com/datasheet/NRF52840-QIAA-F-R7/4173585.html,29.1815,JLCPCB,PCB
Y1,1,FA-128,nRF5280-QFAA-R7:FA128,http://www.farnell.com/datasheets/1734615.pdf,1.3205,JLCPCB,PCB
Y2,1,12 MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,~,1.184,JLCPCB,PCB
