Designator,MidX,MidY,Rotation,Layer
Ae1,76.445,-31.675,0,top
C1,101.1,-28.66,0,top
C2,93.28,-44.1,-90,top
C3,97.88,-44.2,-90,top
C4,101.1,-29.67,0,top
C5,92.85,-28.06,90,top
C6,134.77,-34.43,0,top
C7,130.51,-31.04,0,top
C8,81.55,-39.13,180,top
C9,103.55,-33.12,-90,top
C10,108.56,-33.05,-90,top
C11,96.47,-44.13,90,top
C12,102.57,-33.17,-90,top
C13,105.4,-29.87,0,top
C14,105.43,-30.94,180,top
C17,105.41,-37.41,180,top
C18,80.3,-34.9,0,top
C19,78.17,-34.88,0,top
C20,126.1175,-25.955,90,top
C21,127.1575,-25.935,90,top
C22,123.1975,-25.705,90,top
C23,122.1375,-25.675,90,top
C24,115.3675,-34.435,180,top
C25,115.2875,-31.055,180,top
C26,123.1575,-40.595,-90,top
C27,125.0375,-25.945,90,top
C28,124.2075,-40.595,-90,top
C29,121.1075,-25.695,90,top
C30,103.87,-22.39,0,top
C31,109.84,-24.8,90,top
C32,115.8775,-42.205,-90,top
C33,111.0375,-49.845,90,top
D1,134.81,-35.52,0,top
D2,105.4275,-36.34,0,top
J1,95.83,-18.08,180,top
J2,83.87,-18.09,180,top
J3,88.36,-66.77,90,top
J4,143.5,-67.31,180,top
J5,63.44,-23.65,0,top
J6,67.71,-60.95,90,top
L1,76.18,-34.9,180,top
R1,97.32,-25.32,-90,top
R2,94.06,-25.29,-90,top
R3,85.6,-25.44,-90,top
R4,82,-25.27,-90,top
R5,122.76,-19.48,0,top
R6,122.01,-20.62,0,top
R7,83.28,-25.27,90,top
R8,84.33,-25.29,90,top
R9,112.6675,-49.435,0,top
R10,103.96,-17.46,0,top
R11,103.98,-18.54,0,top
R12,134.77,-36.62,0,top
R13,107.81,-36.31,0,top
R14,70.44,-17.6,-90,top
SW2,65.37,-18.61,0,top
SW1,74.57,-22.52,0,top
U1,115.1,-19.3425,0,top
U2,122.97,-33.625,0,top
U3,106.08,-25.04,0,top
U4,95.91,-34.96,90,top
Y1,106.1,-33.1,0,top
Y2,112.3975,-45.415,0,top
